,date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument
0,"""2018Jul02""",2458301.7648,"""g""",99.0,99.0,99.0,20.40,"""P48+ZTF"""
1,"""2018Jul02""",2458301.7858,"""g""",99.0,99.0,99.0,20.32,"""P48+ZTF"""
2,"""2018Jul02""",2458301.8323,"""g""",99.0,99.0,99.0,20.26,"""P48+ZTF"""
3,"""2018Jul02""",2458301.8445,"""r""",99.0,99.0,99.0,20.35,"""P48+ZTF"""
4,"""2018Jul02""",2458301.8709,"""r""",99.0,99.0,99.0,20.08,"""P48+ZTF"""
5,"""2018Jul02""",2458301.8836,"""r""",99.0,99.0,99.0,20.19,"""P48+ZTF"""
6,"""2018Jul03""",2458302.7021,"""g""",99.0,99.0,99.0,20.75,"""P48+ZTF"""
7,"""2018Jul03""",2458302.8126,"""r""",99.0,99.0,99.0,20.11,"""P48+ZTF"""
8,"""2018Jul03""",2458302.8299,"""r""",99.0,99.0,99.0,20.04,"""P48+ZTF"""
9,"""2018Jul03""",2458302.8615,"""r""",99.0,99.0,99.0,20.03,"""P48+ZTF"""
10,"""2018Jul04""",2458303.8087,"""r""",99.0,99.0,99.0,20.55,"""P48+ZTF"""
11,"""2018Jul04""",2458303.8101,"""r""",99.0,99.0,99.0,20.55,"""P48+ZTF"""
12,"""2018Jul04""",2458303.8260,"""r""",99.0,99.0,99.0,20.48,"""P48+ZTF"""
13,"""2018Jul04""",2458303.8444,"""r""",99.0,99.0,99.0,20.46,"""P48+ZTF"""
14,"""2018Jul05""",2458304.7054,"""g""",99.0,99.0,99.0,20.85,"""P48+ZTF"""
15,"""2018Jul05""",2458304.7205,"""g""",99.0,99.0,99.0,20.89,"""P48+ZTF"""
16,"""2018Jul05""",2458304.8013,"""g""",99.0,99.0,99.0,20.86,"""P48+ZTF"""
17,"""2018Jul05""",2458304.8231,"""r""",99.0,99.0,99.0,20.53,"""P48+ZTF"""
18,"""2018Jul05""",2458304.8455,"""r""",99.0,99.0,99.0,20.53,"""P48+ZTF"""
19,"""2018Jul05""",2458304.8700,"""r""",99.0,99.0,99.0,20.48,"""P48+ZTF"""
